SN;RA;DECL;Cluster;RAJ2000;DEJ2000;zCMB
2006al;159.867661;5.18344;J103906+0512.5;159.776783;5.208216;0.06905
2008bf;181.011993;20.245081;J120409+2020.9;181.039069;20.347585;0.02453
