SN;RA;DECL;Cluster;RAJ2000;DEJ2000;zCMB;cz
SDSS16618;21.279373;-1.218938;A0194;01 25 50.4;-01 21 54;0.19198;5341
sn2006nz;14.121691;-1.226708;A0119;00 56 12.9;-01 14 06;0.03695;13268
