SN;RA;DECL;Cluster;RAJ2000;DEJ2000;zCMB;z;DELTA_Z
sn2005eu;36.93016;28.17686;J0228.1+2811;02 28 09.6;+28 11 40;0.034781;0.0353;0.0005190015020370489
sn2006nz;14.121691;-1.226708;J0056.3-0112;00 56 18.3;-01 13 00;0.03695;0.0442;0.007249999421834949
